업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
㈜둔산렌트카,주사업장,"대전광역시 서구 둔산대로 117번길 39, 4층(만년동)","대전광역시 서구 만년동 345, 4층",36.36677519,127.3819913,대전광역시 대덕구 산업단지로116번길 96,대전광역시 대덕구 신일동 99-1,26,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,나세정,042-477-8866,2021-07-05,6300000,대전광역시
㈜리렌트카,주사업장,"대전광역시 서구 문정로2번길 123, 206호(탄방동, 시티빌 5차)","대전광역시 서구 탄방동 677, 시티발 5차 206호",36.34300516,127.3868181,세종특별자치시 부강면 연청로 745-46,세종특별자치시 부강면 갈산리 470-2,50,38,38,0,1,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,김용우,042-537-9231,2021-07-05,6300000,대전광역시
㈜블루스카이,주사업장,"대전광역시 서구 둔산중로 19, 2층 F-12(탄방동)","대전광역시 서구 탄방동 590, 2층 F-12",36.348221,127.3861704,충청북도 옥천군 옥천읍 지용로 194-10,충북 옥천군 옥천읍 수북리 171-3,23,91,86,5,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,이선영,042-471-2110,2021-07-05,6300000,대전광역시
㈜블루스카이,주사업장,"대전광역시 서구 둔산중로 19, 2층 F-12(탄방동)","대전광역시 서구 탄방동 590, 2층 F-12",36.348221,127.3861704,세종특별자치시 금남면 성덕영곡길 118,세종특별자치시 금남면 성덕리 306,84,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,이선영,042-471-2110,2021-07-05,6300000,대전광역시
㈜비엘렌트카,주사업장,"대전광역시 서구 괴정로 168, 2층 1호(가장동)","대전광역시 서구 가장동 53-2, 2층 1호",36.33397314,127.3892549,대전광역시 서구 가장동 53-23,대전광역시 서구 가장동 53-23,16,165,164,1,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,임나형,042-522-5566,2021-07-05,6300000,대전광역시
㈜비엘렌트카,주사업장,"대전광역시 서구 괴정로 168, 2층 1호(가장동)","대전광역시 서구 가장동 53-2, 2층 1호",36.33397314,127.3892549,충청북도 청주시 서원구 현도면 시목외천로 418-17,충북 청주시 서원구 현도면 상삼리 180-5,84,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,임나형,042-522-5566,2021-07-05,6300000,대전광역시
㈜비엘렌트카,주사업장,"대전광역시 서구 괴정로 168, 2층 1호(가장동)","대전광역시 서구 가장동 53-2, 2층 1호",36.33397314,127.3892549,대전광역시 서구 괴정로 168,대전광역시 서구 가장동 53-2,15,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,임나형,042-522-5566,2021-07-05,6300000,대전광역시
베스트렌트카,영업소,충청남도 당진시 무수동로 77,충청남도 당진시 읍내동 1317,36.888879,126.636847,충청남도 당진시 송악읍 반촌리 587,충청남도 당진시 송악읍 반촌리 587,9,9,9,0,0,0,50000,60000,70000,100000,150000,150000,250000,07:00,19:00,07:00,19:00,07:00,19:00,연중,https://djbest.modoo.at/,김동우,041-358-7170,2021-09-23,5680000,충청남도 당진시
오산렌터카,영업소,충청남도 당진시 남부로 133,충청남도 당진시 채운동 1076,36.8853485,126.631111,충청남도 당진시 송악로 863,충청남도 당진시 송악읍 부곡리 399-20,88,88,79,9,0,0,50000,60000,70000,100000,150000,150000,250000,07:00,19:00,07:00,19:00,07:00,19:00,연중,,박두원,041-355-5511,2021-09-23,5680000,충청남도 당진시
에이제이렌터카,영업소,충청남도 당진시 밤절로 2-8,충청남도 당진시 원당동 921-2,36.9011431,126.6372022,충청남도 당진시 상목길21-48,충청남도 당진시 시곡동 735-7,6,6,6,0,0,0,50000,60000,70000,100000,150000,150000,250000,07:00,19:00,07:00,19:00,07:00,19:00,연중,,윤규선,041-358-3939,2021-09-23,5680000,충청남도 당진시
㈜굿초이스,주사업장,"대전광역시 중구 대둔산로 460, 3층 3호(산성동)","대전광역시 중구 산성동 144-9, 3층 3호",36.31018092,127.3885087,충남 금산군 제원면 수탱이2길 2,충남 금산군 제원면 수당리 778-1,42,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,성민철,1899-8035,2021-07-05,6300000,대전광역시
에쓰렌트카㈜,주사업장,"대전광역시 중구 대종로 583, 101동 207호(선화동)","대전광역시 중구 선화동 152-1, 101동 207호",36.33387694,127.4189078,대전광역시 중구 사정동 361-2,대전광역시 중구 잔디로10번길 52,27,101,97,4,2,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,김진규,042-322-1115,2021-07-05,6300000,대전광역시
에쓰렌트카㈜,주사업장,"대전광역시 중구 대종로 583, 101동 207호(선화동)","대전광역시 중구 선화동 152-1, 101동 207호",36.33387694,127.4189078,세종특별자치시 전동면 소죽골길 32,세종특별자치시 전동면 심중리 454,100,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,김진규,042-322-1115,2021-07-05,6300000,대전광역시
(주)나라렌터카,영업소,강원특별자치도 영월군 영월읍 덕포우회길 38,,37.17922088,128.474713,강원특별자치도 영월군 영월읍 덕포우회길 42,강원특별자치도 영월군 영월읍 덕포리 575-1,70,55,43,12,0,0,50000,70000,90000,150000,150000,,,08:00,20:00,08:00,20:00,08:00,20:00,연중무휴,,신승호,033-375-9110,2023-07-12,4271000,강원특별자치도 영월군
㈜건아렌트카,영업소,강원특별자치도 영월군 영월읍 중앙로 85,,37.18371187,128.4733716,강원특별자치도 영월군 영월읍 중앙로 225-1,강원특별자치도 영월군 영월읍 덕포리 667,10,10,9,1,0,0,,70000,900000,,150000,,,08:30,19:00,08:30,19:00,08:30,19:00,연중무휴,,송안영,033-374-7714,2023-07-12,4271000,강원특별자치도 영월군
(주)엠케이렌트카,영업소,강원특별자치도 영월군 영월읍 영월로 2106,,37.18367617,128.4829904,강원특별자치도 영월군 영월읍 영월로 2123,강원특별자치도 영월군 영월읍 덕포리 502-55,15,6,6,0,0,0,,72000,97000,170000,,,,09:00,18:00,09:00,18:00,09:00,18:00,연중무휴,,권일영,0507-1415-486,2023-07-12,4271000,강원특별자치도 영월군
㈜엠씨렌트카,주사업장,"경기도 안양시 동안구 경수대로 483, 101호","경기도 안양시 동안구 호계동 975-3, 101호",37.366025,126.957848,경기도 의왕시 덕영대로 134경기도 군포시 엘에스로 143,경기도 의왕시 삼동 580-3경기도 군포시 금정동 916,50,50,49,1,0,0,,,,,,,,00:00,23:39,00:00,23:39,00:00,23:39,연중무휴,,장성환,031-429-0113,2023-12-08,3830000,경기도 안양시
㈜태경렌트카,주사업장,"경기도 안양시 동안구 시민대로 312, 107호",경기도 안양시 동안구 평촌동 897,37.395135,126.964823,"경기도 안양시 동안구 시민대로 312, 1,6층","경기도 안양시 동안구 평촌동 897, 1,6층",15,15,15,0,0,0,,,,,,,,00:00,23:39,00:00,23:39,00:00,23:39,연중무휴,,이종윤,1544-7245,2023-12-08,3830000,경기도 안양시
우성렌터카,영업소,강원특별자치도 양구군 양구읍 청춘로 36,강원특별자치도 양구군 양구읍 상리 586-4,38.09929702,127.9888805,강원특별자치도 양구군 양구읍 청춘로 36,강원특별자치도 양구군 양구읍 상리 586-4,20,12,12,0,0,0,0,67000,107000,0,162000,0,0,09:00,18:00,09:00,18:00,00:00,00:00,일요일+공휴일,www.woosungrentcar.com,김원철,033-482-8005,2024-03-05,4321000,강원특별자치도 양구군
SK렌터카,영업소,강원특별자치도 양구군 양구읍 우정로119번길24,강원특별자치도 양구군 양구읍 정림리 3-2,38.10161831,127.987925,강원특별자치도 양구군 양구읍 양구읍 박수근로353번길,강원특별자치도 양구군 양구읍 정림리 205-1,20,28,27,1,0,0,57000,57000,88000,185000,128000,145000,0,09:00,18:00,09:00,18:00,09:00,18:00,연중무휴,www.skcarrental.com,이호권,033-482-4445,2024-03-05,4321000,강원특별자치도 양구군
(유)제이에스렌터카,주사업장,전북특별자치도 전주시 완산구 태평3길 43-5,전북특별자치도 전주시 완산구 태평동 29-9,35.82396043,127.1414646,전북특별자치도 전주시 태평3길 70,전북특별자치도 전주시 완산구 태평동 36-1,,60,53,7,0,0,,,,,,,,00:00,23:59,00:00,23:59,00:00,23:59,,,정현정,063-274-6262,2024-01-17,4641000,전북특별자치도 전주시
(유)찬누리렌트카,주사업장,전북특별자치도 전주시 덕진구 백제대로 606,전북특별자치도 전주시 덕진구 금암동 1550-9,35.84128955,127.1357582,전북특별자치도 전주시 덕진구 송천중앙로 247,전북특별자치도 전주시 덕진구 송천동2가 492-25,,100,100,0,0,0,,,,,,,,00:00,23:59,,,,,,,최흥규,063-242-4540,2024-01-17,4641000,전북특별자치도 전주시
(유)찬누리렌트카,영업소,전북특별자치도 전주시 덕진구 만성로 196,전북특별자치도 전주시 덕진구 만성동 1368-2,35.84773342,127.0804912,전북특별자치도 전주시 덕진구 송천중앙로 247,전북특별자치도 전주시 덕진구 송천동2가 492-25,,100,100,0,0,0,,,,,,,,00:00,23:59,,,,,,,최흥규,063-242-4540,2024-01-17,4641000,전북특별자치도 전주시
제이비우리캐피탈㈜,주사업장,전북특별자치도 전주시 덕진구 백제대로 566,전북특별자치도 전주시 덕진구 금암동 669-2,35.83971611,127.1314059,전북특별자치도 전주시 백제대로 566+전북특별자치도 전주시 완산구 우전로 240+(건물없음)+서울특별시 서초구 매헌로 16+부산광역시 사하구 다대로 지하 692(다대포낙조주차장),"전북특별자치도 전주시 덕진구 금암동 669-2외1+전북특별자치도 전주시 완산구 효자동2가 1234-3+제주특별자치도 제주시 애월읍 봉성리 4554-12+서울특별시 서초구 양재동 215+부산광역시 사하구 다대동 1552-20, 지하692 (다대포낙조주차장)",,31167,30855,312,108,0,,,,,,,,09:00,18:00,,,,,,,박춘원,1688-2300,2024-01-17,4641000,전북특별자치도 전주시
㈜대한렌터카,주사업장,전북특별자치도 전주시 덕진구 하가로 34,전북특별자치도 전주시 덕진구 덕진동2가 356,35.84521511,127.1118261,전북특별자치도 전주시 덕진구 혁신로 542,전북특별자치도 전주시 덕진구 여의동 1133-1,200,78,78,0,0,0,105000,121000,187000,300000,,,330000,09:00,18:00,09:00,18:00,,,일요일+공휴일,,이유미,063-714-3006,2024-01-17,4641000,전북특별자치도 전주시
㈜세영렌트카,주사업장,전북특별자치도 전주시 덕진구 기린대로 882,전북특별자치도 전주시 덕진구 동산동 758,35.86248702,127.0887459,전북특별자치도 전주시 덕진구 기린대로 882,전북특별자치도 전주시 덕진구 여의동2가 757-1외1,100,70,68,2,0,0,60000,70000,80000,150000,150000,200000,500000,09:00,18:00,09:00,13:00,,,일요일+공휴일,http://syrent.alltheway.kr/,정호균,063-252-8944,2024-01-17,4641000,전북특별자치도 전주시
㈜스마트렌터카,주사업장,전북특별자치도 전주시 덕진구 전주천동로 500,전북특별자치도 전주시 덕진구 금암동 473-11,35.83667009,127.1311069,전북특별자치도 전주시 완산구 객사5길73-24+전북특별자치도 익산시 함열읍 익산대로 78길 61-11+전북특별자치도 김제시 중앙1길9+전북특별자치도 군산시 옥산면 상평로335,전북특별자치도 전주시 완산구 고사동 232-6+전북특별자치도 익산시 함열읍 다송리 895-1+전북특별자치도 김제시 요촌동 56-1+전북특별자치도 군산시 옥산면 당북리 1023-5,235,51,48,3,0,0,,,,,,,,09:00,18:00,09:00,18:00,,,,,이혁재,063-272-7711,2024-01-17,4641000,전북특별자치도 전주시
㈜하이렌트카,주사업장,전북특별자치도 전주시 완산구 황강서원로 26,전북특별자치도 전주시 완산구 효자동3가 1598-10,35.82855364,127.0999704,전북특별자치도 완주군 소양면 구억명덕로 511외1,전북특별자치도 완주군 소양면 명덕리 1464-5외1,,93,90,3,0,0,,,,,,,,09:00,18:00,,,,,주말+공휴일,,최성일,063-714-3352,2024-01-17,4641000,전북특별자치도 전주시
참우리렌트카(유),주사업장,전북특별자치도 전주시 덕진구 팔과정로 219-9,전북특별자치도 전주시 덕진구 팔복동4가 254,35.86593272,127.0974301,전북특별자치도 전주시 덕진구 팔과정로 219-5,전북특별자치도 전주시 덕진구 팔복동4가 254,,119,118,1,0,0,,,,,,,,09:00,19:00,09:00,18:00,09:00,18:00,연중무휴,,이정호,063-277-5575,2024-01-17,4641000,전북특별자치도 전주시
투투렌트카(유),영업소,"대전광역시 유성구 테크노1로 12-22, A동 103호(관평동, 디티비안오피스텔)","대전광역시 유성구 관평동 1342, 디티비안오피스텔 A동 103호",36.42991492,127.3876521,"대전광역시 서구 둔산남로 50, 7층","대전광역시 서구 탄방동 587, 7층",10,10,10,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,070-7825-4555,2021-07-05,6300000,대전광역시
㈜포유 유성지점,영업소,"대전광역시 유성구 엑스포로 245, 2층 1호(원촌동)","대전광역시 유성구 원촌동 65-1, 2층 1호",36.37866945,127.4049544,대전광역시 유성구 엑스포로 245,대전광역시 유성구 원촌동 65-1,20,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-631-0848,2021-07-05,6300000,대전광역시
㈜프린스렌트카,영업소,"대전광역시 유성구 문화원로 131, 203호(봉명동, 투유투)","대전광역시 유성구 봉명동 662-1, 투유투 203호",36.35869953,127.3504346,대전광역시 서구 흑석동 363-1,대전광역시 서구 흑석동 363-1,2,1,1,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-476-2222,2021-07-05,6300000,대전광역시
기아㈜,영업소,대전광역시 대덕구 대화로50번길 89(대화동),대전광역시 대덕구 대화동 1-15,36.36978163,127.4186612,대전광역시 대덕구 대화로50번길 89,대전광역시 대덕구 대화동 1-15,34,91,91,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-630-8028,2021-07-05,6300000,대전광역시
㈜선우렌트카,영업소,대전광역시 대덕구 대전로 1419(읍내동),대전광역시 대덕구 읍내동 258-1,36.38041433,127.4224058,대전광역시 대덕구 대전로 1419,대전광역시 대덕구 읍내동 258-1,4,9,9,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-487-0459,2021-07-05,6300000,대전광역시
㈜선우렌트카,영업소,대전광역시 대덕구 대전로 1419(읍내동),대전광역시 대덕구 읍내동 258-1,36.38041433,127.4224058,대전광역시 대덕구 대전로 1419,대전광역시 대덕구 읍내동 258-11,3,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-487-0459,2021-07-05,6300000,대전광역시
㈜아마존카,영업소,대전광역시 대덕구 벚꽃길 100(상서동),대전광역시 대덕구 상서동 290-6,36.43027434,127.4232786,대전광역시 동구 대전로448번길 60-10,대전광역시 동구 가오동 589,10,29,29,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-824-1770,2021-07-05,6300000,대전광역시
㈜아이렌트카 대덕지점,영업소,대전광역시 대덕구 대전로 1179(오정동),대전광역시 대덕구 오정동 23-1,36.3598729,127.4155354,대전광역시 대덕구 오정동 23-7,대전광역시 대덕구 오정동 23-7,10,12,12,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-626-3383,2021-07-05,6300000,대전광역시
㈜아이렌트카 대덕지점,영업소,대전광역시 대덕구 대전로 1179(오정동),대전광역시 대덕구 오정동 23-1,36.3598729,127.4155354,대전광역시 서구 우명동 326-1,대전광역시 서구 우명동 326-1,5,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-626-3383,2021-07-05,6300000,대전광역시
㈜참신렌트카여행사,영업소,대전광역시 대덕구 대화로 51(대화동),대전광역시 대덕구 대화동 40-68,36.36748491,127.4139291,대전광역시 유성구 테크노중앙로 88-6(관평동),대전광역시 유성구 관평동 963,16,11,11,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,1577-5640,2021-07-05,6300000,대전광역시
㈜포유,영업소,대전광역시 대덕구 덕암로 215(덕암동),대전광역시 대덕구 덕암동 54-15,36.43970778,127.4235585,대전광역시 서구 만년동 361,대전광역시 서구 만년동 361,73,58,58,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-936-8282,2021-07-05,6300000,대전광역시
에스케이렌터카㈜,영업소,"대전광역시 서구 둔산중로 19, 샤크존 5층2호(탄방동)","대전광역시 서구 탄방동 590, 샤크존 5층2호",36.34821748,127.3861732,"대전광역시 서구 둔산중로 19, 5층",대전광역시 서구 탄방동 590 5층,24,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-489-7782,2021-07-05,6300000,대전광역시
㈜저스트렌트카,영업소,"대전광역시 서구 대덕대로168번길 74(갈마동, 태승타워)","대전광역시 서구 갈마동 1447, 태승타워 304호",36.34518164,127.3786131,"대전광역시 서구 대덕대로249번길 15, 5~6층","대전광역시 서구 둔산동 1023, 5~6층",70,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-257-1235,2021-07-05,6300000,대전광역시
㈜조은렌트카,영업소,대전광역시 서구 갈마로 19(갈마동),대전광역시 서구 갈마동 313-19,36.3506567,127.3694971,대전광역시 서구 갈마로 19,대전광역시 서구 갈마동 313-19,8,6,6,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-538-6449,2021-07-05,6300000,대전광역시
지에스렌트카㈜ 서구지점,영업소,"대전광역시 서구 도안동로11번길 25, 1층 102호(가수원동)","대전광역시 서구 가수원동 1039, 102호",36.30567269,127.351524,"대전광역시 서구 도안동로11번길 25, 지하1층(가수원동)","대전광역시 서구 가수원동 1039, 지하1층",6,4,4,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-352-3434,2021-07-05,6300000,대전광역시
㈜터미널렌트카,영업소,"대전광역시 서구 둔산로 133, 213호(둔산동, 현대아이텔)","대전광역시 서구 둔산동 1457, 현대아이텔 213호",36.35159125,127.3886337,충청북도 청주시 서원구 산남로70번길 26,충북 청주시 서원구 산남동 583,24,16,15,1,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-482-8887,2021-07-05,6300000,대전광역시
㈜가인렌트카,영업소,"대전광역시 유성구 대학로 34, 212호(봉명동, 노블레스타워)","대전광역시 유성구 봉명동 536-10, 노블레스타워 212호",36.35663467,127.3430737,대전광역시 서구 우명동 326-1,대전광역시 서구 우명동 326-1,2,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-825-7274,2021-07-05,6300000,대전광역시
디에이치렌트카㈜,영업소,대전광역시 유성구 월드컵대로 351(봉명동),대전광역시 유성구 봉명동 560-20,36.34884028,127.339105,대전광역시 서구 둔산동 1159 4층,대전광역시 서구 둔산동 1159 4층,64,2,1,1,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-822-0022,2021-07-05,6300000,대전광역시
디에이치렌트카㈜,영업소,대전광역시 유성구 월드컵대로 351(봉명동),대전광역시 유성구 봉명동 560-20,36.34884028,127.339105,대전광역시 서구 둔산동 1159 3층,대전광역시 서구 둔산동 1159 3층,28,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-822-0022,2021-07-05,6300000,대전광역시
㈜레드캡투어,영업소,"대전광역시 유성구 유성대로 875, 501호(죽동, 비에스타워)","대전광역시 유성구 죽동 704-10, 비에스타워 501호",36.36974244,127.3395671,대전광역시 서구 우명동 326-1,대전광역시 서구 우명동 326-1,20,51,51,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-714-2390,2021-07-05,6300000,대전광역시
마스타자동차관리㈜,영업소,대전광역시 유성구 학하중앙로128번길 23-32(학하동),대전광역시 유성구 학하동 722-10,36.3394264,127.3073878,대전광역시 유성구 대덕대로590번길 16,대전광역시 유성구 도룡동 395-3,10,3,3,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-824-6855,2021-07-05,6300000,대전광역시
마춤카㈜,영업소,"대전광역시 유성구 대학로 77, 501-2호(궁동, 준원빌딩)","대전광역시 유성구 궁동 480-6, 준원빌딩 501-2호",36.36059018,127.3436752,대전광역시 유성구 대덕대로590번길 16,대전광역시 유성구 도룡동 395-3,5,2,2,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,070-4481-3838,2021-07-05,6300000,대전광역시
㈜삼성렌트카,영업소,대전광역시 유성구 계룡로74번길 79-7(봉명동),대전광역시 유성구 봉명동 557-3,36.35102094,127.3383782,대전광역시 유성구 계룡로74번길 79-7,대전광역시 유성구 봉명동 557-3,11,9,9,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-822-6011,2021-07-05,6300000,대전광역시
㈜삼성렌트카,영업소,대전광역시 유성구 계룡로74번길 79-7(봉명동),대전광역시 유성구 봉명동 557-3,36.35102094,127.3383782,대전광역시 유성구 계룡로74번길 73,대전광역시 유성구 봉명동 557-1,30,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-822-6011,2021-07-05,6300000,대전광역시
㈜쏘카,영업소,"대전광역시 유성구 노은로 157, 202호(지족동, 드래곤랜드빌딩)","대전광역시 유성구 지족동 894-1, 드래곤랜드빌딩 202호",36.37370653,127.3173726,대전광역시 중구 중앙로138번길 30,대전광역시 중구 대흥동 215,180,357,350,3,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-487-3315,2021-07-05,6300000,대전광역시
㈜아이렌트카 유성지점,영업소,"대전광역시 유성구 도안북로 54-64, 101호(용계동, 스타팰리스)","대전광역시 유성구 용계동 670-9, 스타팰리스 101호",36.32965495,127.3353291,대전광역시 유성구 도안북로 54-64,대전광역시 유성구 용계동 670-9,1,15,15,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,042-822-2215,2021-07-05,6300000,대전광역시
