Question,Answer
사고 시 수리 절차가 궁금해요.,"①사고접수 (고객센터 : 1599-9111) ▶② 지정 정비업체 입고 ▶③수리 기간 안내 및 수리 진행 ▶④면책금 납부 확인▶ ⑤차량 수리 완료 및 고객인도
 ※ 면책금 미납부시 출고 진행이 어려워요.
※ 면책금은 가입하신 차량손해면책제도에 따릅니다.
 - 수리비용이 면책금 이상일 경우 → 면책금액 납부
- 수리비용이 면책금 미만일 경우 → 수리비용 실비 납부 
 ※교통법규 위반, 운전자 범위 위반, 음주운전 등으로 인해 사고발생 시 보상이 제한돼요.
 "
사고접수는 어떻게 하나요?,"SK렌터카는 24시간 사고접수가 가능한 고객센터를 운영 중입니다.
 [사고접수방법]
1599-9111로 전화 후 1번 누르시면 상담사를 통해 사고접수를 할 수 있어요
 "
사고 시 면책금은 얼마인가요?," SK렌터카는 모든 차량이 자동차 종합보험에 가입되어 있어요.
완전자차 선택시 고객부담금이 면제돼요.
 <제주>
1) 고객 부담금: 
 일반자차: 30만원, 완전자차 0원
 (국산차량, 수입차량 동일)
 2) 보장범위
 - 대인(타인에게 손해를 입힌 경우): 무한대
 - 대물(타인의 차량에 손해를 입힌 경우): 건당 2천만원까지
 - 자손(나의 손해가 발생한 경우): 인당 1천 5백만원까지

 "
분실물 발생 시 어떻게 하나요?,"지점으로 즉시 연락하여 확인 요청해 주세요.
예약자명, 반납일자, 차종, 차량번호를 말씀주시면 빠른 확인이 가능해요. 
 ※ 분실 시 책임 및 보상이 불가하니, 차량 반납 전 두고내리시는 물건이 없는 지 꼭 확인 부탁드려요. 
※ SK렌터카 제주지점(T.064-726-6460) 
 "
딜리버리 서비스도 가능한가요?,"단기 예약은 딜리버리 서비스(배반차 사비스)가 제공되지 않아요. 
 "
대여시 인수/반납 규정이 궁금해요.,"단기렌터카는 예약자(제1운전자) 뿐 아니라 사전에 등록된 제2운전자와 제3운전자도 운전면허증 지참 후 인수 및 반납이 가능합니다.
 ※ 차량 인수반납은 지점 영업시간에만 가능합니다.
  "
주말/주중 대여료 적용 기준이 궁금해요.,"차량 대여료의 주중/주말 구분은 24시간 단위로 적용돼요.
  - 주중: 일~목
- 주말: 금~토
  <대여료 적용 예시>
상황 : 목요일 오전 9시부터 월요일 오전 9시까지 대여 (할인수단: T멤버십 할인, 주중 80% 주말 75%)
      ※ 성수기도 주중/주말 기준은 동일해요.
※ 제휴 할인율은 시즌에 따라 달라질 수 있어요.
     "
전 연령 차량도 대여할 수 있나요?,"SK렌터카는 전 연령차량을 보유 및 대여하고 있지 않아요.
 고객 안전을 위해 차종별 대여 가능 자격을 정해두었어요.
 대여자격은 'SK렌터카 홈페이지>이용안내>단기렌터카>'대여안내'에서 확인하실 수 있습니다.
 "
제주지점 영업시간이 궁금해요.,"<제주지점>
- 차량 인수: 07:30~22:00 
- 차량 반납: 06:00~21:00
  ※ 고객 응대 가능 시간: 월~금 (08:00~19:00)
※ SK렌터카 제주지점(T.064-726-6460) 
   "
반려동물과 동승이 가능한가요?,"다음 이용 고객에게 불편(알레르기 등)을 끼칠 우려가 있어 반려동물의 동승을 허용하지 않아요.
 불가피한 경우, 이동장을 이용하면 반려동물 동승이 가능하지만 크리닝 비용(보험미적용/실비청구)이 추가될 수 있어요.
 "
단기렌터카 보험(차량손해 면책제도)에 대해 알고 싶어요.,"SK렌터카는 모든 차량이 자동차 종합보험에 가입되어 있어요.
 완전자차 선택시 고객부담금이 면제돼요.
  <제주>
1) 고객 부담금
  - 일반자차: 30만원
  - 완전자차 0원 
   (국산차량, 수입차량 동일)
 2) 보장범위
  - 대인(타인에게 손해를 입힌 경우)
    : 무한대
  - 대물
    (타인의 차량에 손해를 입힌 경우)
    : 건당 2천만원까지
  - 자손(나의 손해가 발생한 경우)
    : 인당 1천 5백만원까지
    "
휴차보상료에 대해 알고 싶어요.,"보험(차량손해면책제도) 가입 유무와 관계없이 사고로 인해 차량이 휴차할 경우, 
수리 기간 동안 할인이 적용되지 않은 표준대여료(24시간 기준)의 50%에 해당하는 휴차보상료가 청구되며, 이는 임차인이 배상해야 해요.
(임대차 계약서 내 보험 보상 관련 약관에 따른 사항이에요.)
  ※ 완전자차 가입 시 휴차보상료를 면제해 드려요.
    단, ‘완전 자차’ 보험을 가입했어도 전손 처리 혹은 폐차 시 휴차보상료가 부과 돼요.  
   "
렌터카 예약방법 및 절차가 궁금해요.,"아래 경로로 예약해 보세요.
SK렌터카 회원 가입 후 예약하면 추가 할인을 받을 수 있으니 참고하세요.
 ①메인에서 장소, 일시, 차량 선택▶ ② 검색결과 확인▶ ③ 우측 상단 검색필터 적용(차종, 연료, 제조사 등) ▶ ④ 차량상세 정보 확인 후 예약▶⑤ 로그인 후, 회원가 적용 받기 ▶ ⑥ 보험선택 ▶ ⑦ 운전자 정보 입력▶ ⑧ 결제하기 ▶ ⑨ 예약완료
       "
일정이 변경되어 예약을 변경하고 싶어요.,"SK렌터카 사이트에서 예약변경이 가능합니다.
  ① 메인 상단 ‘예약확인’ 클릭 ▶ ② 회원로그인(비회원일 경우, '비회원 예약확인' 클릭) ▶ ③내 예약 클릭 ▶ ④예약 상세에서 '예약변경' 클릭 
  ☞예약 변경하러 가기 
  ※ 제주 출발 2시간 전, 내륙 전지점 출발 24시간 전 까지 사이트에서 변경가능해요.
※ 예약시점에 따라 렌탈료(보험포함)가 차이 날 수 있어요.
※ 사용하신 쿠폰은 예약 정보 변경 시 반환돼요.
     "
"예약취소나 노쇼(No-show)시, 수수료는 얼마나 부과되나요?","취소시간에 따라 수수료가 달라져요.
  <제주>
- 출발 72시간 이전: 전액환불
- 출발 72시간 이내: 대여료의 80% 환불
- 노쇼(No-show): 대여료의 70% 환불 
  <내륙>
- 출발 24시간 이전: 전액환불
- 출발 24시간 이내: 대여료의 90% 환불
- 노쇼(No-show): 대여료의 90% 환불 
  ※ 대여시간 2시간 경과 시 예약이 임의로 취소되니, 도착이 늦으시면 꼭 연락주세요.
 "
예약확인 및 예약취소는 어떻게 하나요?,"SK렌터카 사이트 [예약상세]에서 예약확인 및 예약취소가 가능해요.    
 ① 메인 상단 '예약확인' 클릭 ▶ ② 회원로그인(비회원일 경우, '비회원 예약확인' 클릭) ▶ ③예약내역 ▶ ④내 예약 클릭 ▶ ⑤예약 상세에서 예약 내용 확인 or '예약취소' 진행
 ☞예약상세 페이지 가기
 "
"예약 시 차량정보(연식, 주요옵션)를 확인할 수 있나요?","렌터카 예약 시, 차량 상세 정보에서 확인할 수 있어요.
 원하시는 대여일시/지역을 먼저 선택 후, 조회되는 차량을 클릭해 보세요.
 연식 및 주요 차량옵션(후방카메라, 블루투스, 내비게이션), 적재 및 장착공간 정보(골프백, 유모차), 승차인원, 운전자격까지 확인할 수 있어요.
 "
렌터카 이용중 반납시간을 연장하고 싶어요.,"SK렌터카 사이트에서 차량 이용중 반납시간 연장이 가능해요.
  ① 메인 상단 ‘예약확인’ 클릭 ▶ ② 회원로그인(비회원일 경우, '비회원 예약확인' 클릭) ▶ ③내 예약 클릭 ▶ ④예약 상세에서 '대여연장' 클릭
    ☞반납 연장하러 가기 
  ※ 렌터카 이용 중 예약 변경은 반납 시간 기준은 제주지점 30분, 내륙지점은 2시간 전까지 가능해요.
※ 연장시간에 따라 추가 대여료가 발생할 수 있어요.
※ 대여장소 및 차량 변경은 가능하지 않아요.
※ 당사의 대여 일정에 따라 연장이 어려울 수 있어요.
   "
유류비 환불은 며칠이 걸리나요?,"차량반납 시의 주유량이 출발 시 주유량보다 많을 경우, 유류비를 환불해 드려요.
 반납과 동시에 예약하신 분 휴대폰으로 알림톡이 발송되니, 
유류비 환불 내역을 확인하시고 환불 계좌를 등록해주세요.
등록 완료 후 영업일 7일 이내 환불이 완료돼요.
 "
유류비 정산 기준은 어떻게 되나요?,"유류비 정산은 오피넷의 해당일자, 광역시도별 평균 단가로 산정해요.
 자세한 정산 내역은 차량 반납과 동시에 발송되는 알림톡을 통해 확인할 수 있어요.
 ※ 리터 환산 기준 시, 차종별 제원표에 나온 표준 연료량 기준으로 정산
 (단, LPG 차량은 탱크용량의 85% 까지만 충전)
 "
차량에 낚시용품을 적재해도 되나요?,"다음 이용 고객의 쾌적한 차량 이용을 위해 낚시용품은 적재가 어려워요.
 불가피하게 낚시용품을 소지하게 될 경우 크리닝 비용(보험미적용/실비청구)이 추가될 수 있어요.
  "
유아용품을 대여하고 싶어요.,"카시트/유모차 등의 유아용품은 협력업체인 '제주아이'를 통해 가능해요
  ☞홈페이지 바로가기
  유아용품 예약문의: 제주아이(064-748-7799)
카시트 예약 시 렌터카 예약번호를 알려주시면 사전 장착되어 배차돼요.
※ 6/1 대여고객 부터는 홈페이지에서 바로 예약이 가능해요.
 "
교통약자를 위한 부가용품을 빌릴 수 있나요?,"SK렌터카 제주지점에서는 교통약자를 위해 토도웍스 수전동 휠체어를 제공하고 있어요.
  예약 가능여부는 제주지점 데스크(064-726-6460~2)로 문의주세요.
※ 6/1 대여고객 부터는 홈페이지에서 바로 예약이 가능해요."
제휴 및 할인 카드를 알고 싶어요.,"모든 제휴할인은 제휴할인 사이트를 통해 예약 시에 받을 수 있어요.
 SK렌터카 회원 로그인 후, 예약하면 최대 할인을 받을 수 있으니 참고하세요.
 ☞제휴/할인 안내 페이지 가기 
 "
SKT T멤버십 할인은 어떻게 받나요?,"모든 제휴할인은 제휴할인 사이트를 통해 예약 시에 받을 수 있어요.
  아래 사이트에서 회원 로그인 후 예약 시 SK렌터카 회원할인 적용도 받을 수 있어요.
  ☞T 멤버십 제휴 예약하러 가기
☞SK렌터카 제휴/할인 안내 페이지 가기 
   "
SK 임직원 할인은 어떻게 받나요?,"SK렌터카 사이트 회원가입 후, 마이페이지에서 SK멤버사 구성원 인증을 완료해 주세요.
 재직 중인 회사 SK 이메일 주소로 인증받을 수 있어요.
 ① 메인페이지 우측 펼침메뉴(三) 클릭▶② 로그인 후, 마이페이지(이름 배너 클릭) ▶③ 내 정보 관리 ▶④ SK멤버사 구성원 인증 클릭
 "
